filing_date,trade_date,insider_name,title,trade_type,price,quantity,ownership,ownership_change,value
2004-04-23 19:22:52,2004-04-22,Cook Timothy D,EVP,S - Sale+OE,27.59,-62000.0,4722.0,-93.0,-1710620.0
2004-04-23 19:21:58,2004-04-21,Cook Timothy D,EVP,S - Sale+OE,27.85,-87700.0,4722.0,-95.0,-2442337.0
2004-04-23 19:21:26,2004-04-21,Cook Timothy D,EVP,S - Sale+OE,27.69,-62300.0,4722.0,-93.0,-1725281.0
2004-04-23 19:20:31,2004-04-21,Cook Timothy D,EVP,S - Sale+OE,27.79,-62200.0,4722.0,-93.0,-1728412.0
2004-04-23 19:20:02,2004-04-21,Cook Timothy D,EVP,S - Sale+OE,27.63,-87800.0,4722.0,-95.0,-2426072.0
2004-04-23 19:19:00,2004-04-21,Rubinstein Jonathan,SVP,S - Sale+OE,27.88,-275000.0,9906.0,-97.0,-7667300.0
2004-04-22 17:59:29,2004-04-20,Schiller Philip W,SVP,S - Sale+OE,28.1,-250000.0,128.0,-100.0,-7024300.0
2004-04-21 19:27:56,2004-04-20,Anderson Fred D,EVP,S - Sale+OE,28.27,-64000.0,2672.0,-96.0,-1809460.0
2004-04-21 19:27:18,2004-04-20,Anderson Fred D,EVP,S - Sale+OE,28.13,-96000.0,2672.0,-97.0,-2700220.0
2004-04-21 19:24:57,2004-04-19,Anderson Fred D,EVP,S - Sale+OE,27.9,-44200.0,2672.0,-94.0,-1233165.0
2004-04-21 19:24:19,2004-04-19,Anderson Fred D,EVP,S - Sale+OE,28.38,-71300.0,2672.0,-96.0,-2023715.0
2004-04-21 19:20:05,2004-04-19,Anderson Fred D,EVP,S - Sale+OE,28.24,-70000.0,2672.0,-96.0,-1976480.0
2004-04-21 19:18:31,2004-04-19,Anderson Fred D,EVP,S - Sale+OE,28.0,-54500.0,2672.0,-95.0,-1526068.0
2004-04-21 19:17:13,2004-04-20,Cook Timothy D,EVP,S - Sale+OE,28.32,-44000.0,4722.0,-90.0,-1246180.0
2004-04-21 19:16:16,2004-04-20,Cook Timothy D,EVP,S - Sale+OE,28.19,-154000.0,4722.0,-97.0,-4340760.0
2004-04-21 19:15:19,2004-04-20,Cook Timothy D,EVP,S - Sale+OE,27.99,-70000.0,4722.0,-94.0,-1959600.0
2004-04-21 19:14:05,2004-04-19,Cook Timothy D,EVP,S - Sale+OE,28.04,-56000.0,4722.0,-92.0,-1569960.0
2004-04-21 19:13:20,2004-04-19,Cook Timothy D,EVP,S - Sale+OE,28.35,-98000.0,4722.0,-95.0,-2778420.0
2004-04-21 19:12:19,2004-04-19,Cook Timothy D,EVP,S - Sale+OE,28.21,-94000.0,4722.0,-95.0,-2651880.0
2004-04-21 19:11:31,2004-04-19,Cook Timothy D,EVP,S - Sale+OE,27.99,-84000.0,4722.0,-95.0,-2351280.0
2004-04-21 19:09:19,2004-04-19,Rubinstein Jonathan,SVP,S - Sale+OE,28.35,-250000.0,9906.0,-96.0,-7087500.0
2004-04-21 19:08:35,2004-04-19,Tamaddon Sina,SVP,S - Sale+OE,28.08,-678400.0,6452.0,-99.0,-19046284.0
2004-04-21 19:07:40,2004-04-19,Heinen Nancy R,SVP,S - Sale+OE,28.0,-200000.0,1315.0,-99.0,-5600000.0
